
###################
Card test (random test) - Adventurer
-- Seed[1] -- Handsize[445] -- Decksize[42]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[2] -- Handsize[391] -- Decksize[85]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[3] -- Handsize[337] -- Decksize[127]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[4] -- Handsize[283] -- Decksize[170]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[5] -- Handsize[229] -- Decksize[212]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[6] -- Handsize[174] -- Decksize[255]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[7] -- Handsize[120] -- Decksize[297]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[8] -- Handsize[66] -- Decksize[340]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[9] -- Handsize[12] -- Decksize[382]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[10] -- Handsize[458] -- Decksize[425]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[11] -- Handsize[403] -- Decksize[467]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[12] -- Handsize[349] -- Decksize[10]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[13] -- Handsize[295] -- Decksize[52]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[14] -- Handsize[241] -- Decksize[95]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[15] -- Handsize[187] -- Decksize[137]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[16] -- Handsize[132] -- Decksize[180]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[17] -- Handsize[78] -- Decksize[222]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[18] -- Handsize[24] -- Decksize[265]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[19] -- Handsize[470] -- Decksize[307]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[20] -- Handsize[416] -- Decksize[350]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[21] -- Handsize[361] -- Decksize[392]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[22] -- Handsize[307] -- Decksize[435]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[23] -- Handsize[253] -- Decksize[477]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[24] -- Handsize[199] -- Decksize[20]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[25] -- Handsize[145] -- Decksize[62]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[26] -- Handsize[90] -- Decksize[105]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[27] -- Handsize[36] -- Decksize[147]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[28] -- Handsize[482] -- Decksize[190]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[29] -- Handsize[428] -- Decksize[232]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[30] -- Handsize[374] -- Decksize[275]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[31] -- Handsize[319] -- Decksize[318]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[32] -- Handsize[265] -- Decksize[360]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[33] -- Handsize[211] -- Decksize[403]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[34] -- Handsize[157] -- Decksize[445]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[35] -- Handsize[103] -- Decksize[488]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[36] -- Handsize[49] -- Decksize[30]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[37] -- Handsize[494] -- Decksize[73]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[38] -- Handsize[440] -- Decksize[115]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[39] -- Handsize[386] -- Decksize[158]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[40] -- Handsize[332] -- Decksize[200]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[41] -- Handsize[278] -- Decksize[243]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[42] -- Handsize[223] -- Decksize[285]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[43] -- Handsize[169] -- Decksize[328]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[44] -- Handsize[115] -- Decksize[370]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[45] -- Handsize[61] -- Decksize[413]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[46] -- Handsize[7] -- Decksize[455]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[47] -- Handsize[452] -- Decksize[498]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[48] -- Handsize[398] -- Decksize[40]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[49] -- Handsize[344] -- Decksize[83]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[50] -- Handsize[290] -- Decksize[125]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[51] -- Handsize[236] -- Decksize[168]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[52] -- Handsize[181] -- Decksize[210]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[53] -- Handsize[127] -- Decksize[253]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[54] -- Handsize[73] -- Decksize[295]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[55] -- Handsize[19] -- Decksize[338]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[56] -- Handsize[465] -- Decksize[380]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[57] -- Handsize[410] -- Decksize[423]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[58] -- Handsize[356] -- Decksize[465]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[59] -- Handsize[302] -- Decksize[8]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[60] -- Handsize[248] -- Decksize[50]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[61] -- Handsize[194] -- Decksize[93]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[62] -- Handsize[139] -- Decksize[136]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[63] -- Handsize[85] -- Decksize[178]
#TESTS PASSED: 1, TESTS FAILED: 2
